strain,country,location,date,day_occurence,lon,lat
Netherlands/NoordBrabant_15/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Germany/NRW-011/2020,Germany,"Duesseldorf, Germany",2020-03-03,70,6.7763137,51.2254018
Netherlands/Gelderland_1/2020,Netherlands,"?, Netherlands",2020-03-02,69,5.7480821,52.5001698
Netherlands/Utrecht_5/2020,Netherlands,"?, Netherlands",2020-03-02,69,5.7480821,52.5001698
Netherlands/ZuidHolland_1/2020,Netherlands,"?, Netherlands",2020-03-02,69,5.7480821,52.5001698
Netherlands/NoordHolland_1/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/ZuidHolland_10/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Ireland/Dublin-19072/2020,Ireland,"?, Ireland",2020-03-02,69,-7.9794599,52.865196
Netherlands/ZuidHolland_24/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/ZuidHolland_22/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/Utrecht_13/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/ZuidHolland_11/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/ZuidHolland_14/2020,Netherlands,"?, Netherlands",2020-03-05,72,5.7480821,52.5001698
Netherlands/NoordBrabant_14/2020,Netherlands,"?, Netherlands",2020-03-05,72,5.7480821,52.5001698
USA/MA1/2020,USA,"Boston, USA",2020-01-29,36,-71.0582912,42.3602534
Shenzhen/SZTH-003/2020,China,"Shenzhen, China",2020-01-16,23,114.0543297,22.555454
Foshan/20SF207/2020,China,"Foshan, China",2020-01-22,29,113.1146335,23.0247687
China/WF0009/2020,China,"?, China",2020-01-07,14,104.999927,35.000074
Canada/ON-PHL2445/2020,Canada,"?, Canada",2020-01-25,32,-107.9917071,61.0666922
Canada/ON-VIDO-01/2020,Canada,"?, Canada",2020-01-23,30,-107.9917071,61.0666922
USA/CA3/2020,USA,"?, USA",2020-01-29,36,-100.4458825,39.7837304
USA/CA4/2020,USA,"?, USA",2020-01-29,36,-100.4458825,39.7837304
Wuhan/WH03/2020,China,"Wuhan, China",2020-01-01,8,114.2999353,30.5951051
Wuhan-Hu-1/2019,China,"Wuhan, China",2019-12-26,2,114.2999353,30.5951051
Jiangxi/IVDC-JX-002/2020,China,"Pingxiang, China",2020-01-11,18,106.8517762,22.089615
Jiangsu/JS02/2020,China,"?, China",2020-01-24,31,104.999927,35.000074
Guangdong/20SF040/2020,China,"Zhuhai, China",2020-01-18,25,113.5462439,22.2305196
Guangdong/20SF174/2020,China,"Zhuhai, China",2020-01-22,29,113.5462439,22.2305196
USA/CA5/2020,USA,"?, USA",2020-01-29,36,-100.4458825,39.7837304
Guangdong/20SF028/2020,China,"Zhuhai, China",2020-01-17,24,113.5462439,22.2305196
China/WH-09/2020,China,"Wuhan, China",2020-01-08,15,114.2999353,30.5951051
Fujian/13/2020,China,"?, China",2020-01-22,29,104.999927,35.000074
India/1-27/2020,India,"?, India",2020-01-27,34,78.6677428,22.3511148
China/IQTC02/2020,China,"Guangzhou, China",2020-01-29,36,113.2592945,23.1301964
Guangdong/SZ-N59-P0049/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Foshan/20SF210/2020,China,"Foshan, China",2020-01-22,29,113.1146335,23.0247687
USA/WI1/2020,USA,"?, USA",2020-01-31,38,-100.4458825,39.7837304
Foshan/20SF211/2020,China,"Foshan, China",2020-01-22,29,113.1146335,23.0247687
Singapore/11/2020,Singapore,"Singapore, Singapore",2020-02-02,40,103.8194992,1.357107
Jiangsu/JS01/2020,China,"?, China",2020-01-23,30,104.999927,35.000074
