strain,country,location,date,day_occurence,lon,lat
SouthKorea/KUMC04/2020,South Korea,"?, South Korea",2020-02-27,65,127.6961188,36.638392
SouthKorea/KUMC03/2020,South Korea,"?, South Korea",2020-02-27,65,127.6961188,36.638392
SouthKorea/KUMC06/2020,South Korea,"?, South Korea",2020-02-27,65,127.6961188,36.638392
USA/TX1/2020,USA,"?, USA",2020-02-11,49,-100.4458825,39.7837304
Shenzhen/HKU-SZ-005/2020,China,"Shenzhen, China",2020-01-11,18,114.0543297,22.555454
Guangdong/SZ-N128-P0057/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/2020XN4291-P0038/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
Japan/TY-WK-012/2020,Japan,"Tokyo, Japan",2020-01-29,36,139.7594549,35.6828387
Japan/TY-WK-501/2020,Japan,"Tokyo, Japan",2020-01-31,38,139.7594549,35.6828387
Japan/TY-WK-521/2020,Japan,"Tokyo, Japan",2020-01-31,38,139.7594549,35.6828387
Shenzhen/HKU-SZ-002/2020,China,"Shenzhen, China",2020-01-10,17,114.0543297,22.555454
Guangdong/20SF025/2020,China,"Shenzhen, China",2020-01-15,22,114.0543297,22.555454
Guangdong/20SF013/2020,China,"Shenzhen, China",2020-01-15,22,114.0543297,22.555454
Guangdong/20SF012/2020,China,"Shenzhen, China",2020-01-14,21,114.0543297,22.555454
Guangdong/2020XN4276-P0037/2020,China,"?, China",2020-01-31,38,104.999927,35.000074
Shenzhen/SZTH-002/2020,China,"Shenzhen, China",2020-01-13,20,114.0543297,22.555454
Germany/BavPat3/2020,Germany,"Munich, Germany",2020-03-02,69,11.5753822,48.1371079
China/WF0029/2020,China,"?, China",2020-02-25,63,104.999927,35.000074
China/WF0023/2020,China,"?, China",2020-02-06,44,104.999927,35.000074
Wuhan/WH04/2020,China,"Wuhan, China",2020-01-05,12,114.2999353,30.5951051
China/WF0019/2020,China,"?, China",2020-02-27,65,104.999927,35.000074
Guangdong/GDSZ202009-P0032/2020,China,"?, China",2020-02-05,43,104.999927,35.000074
Wuhan/HBCDC-HB-03/2020,China,"Wuhan, China",2020-01-18,25,114.2999353,30.5951051
Singapore/13/2020,Singapore,"?, Singapore",2020-02-18,56,103.8194992,1.357107
Guangdong/GD2020233-P0027/2020,China,"?, China",2020-02-07,45,104.999927,35.000074
Guangdong/ZS-S6-P0060/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/FS-S29-P0051/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Taiwan/3/2020,Taiwan,"Taipei, Taiwan",2020-01-24,31,121.5636796,25.0375198
Australia/NSW01/2020,Australia,"Sydney, Australia",2020-01-24,31,151.2164539,-33.8548157
Singapore/14/2020,Singapore,"?, Singapore",2020-02-19,57,103.8194992,1.357107
Guangdong/GDFS2020056-P0044/2020,China,"?, China",2020-02-10,48,104.999927,35.000074
Taiwan/NTU01/2020,Taiwan,"Taipei, Taiwan",2020-01-31,38,121.5636796,25.0375198
Guangdong/2020XN4459-P0041/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
China/WF0018/2020,China,"?, China",2020-02-17,55,104.999927,35.000074
China/WF0021/2020,China,"?, China",2020-02-29,67,104.999927,35.000074
China/WF0016/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
China/WF0020/2020,China,"?, China",2020-02-07,45,104.999927,35.000074
China/WF0015/2020,China,"?, China",2020-02-18,56,104.999927,35.000074
Belgium/GHB-03021/2020,Belgium,"Leuven, Belgium",2020-02-03,41,4.7011675,50.879202
Guangdong/GDSZ202015-P0019/2020,China,"?, China",2020-02-05,43,104.999927,35.000074
China/WF0017/2020,China,"?, China",2020-02-23,61,104.999927,35.000074
Chongqing/YC01/2020,China,"Yongchuan, China",2020-01-21,28,105.870081,29.29285
Guangdong/GD2020086-P0021/2020,China,"?, China",2020-02-01,39,104.999927,35.000074
Guangdong/GD2020234-P0023/2020,China,"?, China",2020-02-07,45,104.999927,35.000074
Fujian/8/2020,China,"?, China",2020-01-21,28,104.999927,35.000074
USA/WA1/2020,USA,"Snohomish County, USA",2020-01-19,26,-121.7304882,48.0074736
Guangdong/GDSZ202013-P0014/2020,China,"?, China",2020-02-05,43,104.999927,35.000074
Guangdong/FS-S30-P0052/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Guangdong/FS-S34-P0015/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
USA/WA-UW19/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/MN3-MDH3/2020,USA,"?, USA",2020-03-09,76,-100.4458825,39.7837304
USA/CA-CDPH-UC1/2020,USA,"Sonoma County, USA",2020-02-26,64,-122.8473388,38.5110803
USA/MN1-MDH1/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/CA-CDPH-UC7/2020,USA,"San Francisco, USA",2020-03-05,72,-122.4199061,37.7790262
USA/CA-CDPH-UC8/2020,USA,"San Francisco, USA",2020-03-05,72,-122.4199061,37.7790262
USA/UC-CDPH-UC11/2020,USA,"San Francisco, USA",2020-03-05,72,-122.4199061,37.7790262
USA/CA-CDPH-UC9/2020,USA,"San Francisco, USA",2020-03-05,72,-122.4199061,37.7790262
USA/CA-CDPH-UC5/2020,USA,"San Francisco, USA",2020-03-05,72,-122.4199061,37.7790262
USA/CA-CDPH-UC6/2020,USA,"San Francisco, USA",2020-03-05,72,-122.4199061,37.7790262
USA/WA2/2020,USA,"Snohomish County, USA",2020-02-24,62,-121.7304882,48.0074736
USA/WA8-UW5/2020,USA,"?, USA",2020-03-01,68,-100.4458825,39.7837304
USA/WA9-UW6/2020,USA,"?, USA",2020-03-01,68,-100.4458825,39.7837304
USA/WA-S2/2020,USA,"King County, USA",2020-02-20,58,-100.2178972,33.588178
USA/WA11-UW7/2020,USA,"?, USA",2020-03-02,69,-100.4458825,39.7837304
USA/WA7-UW4/2020,USA,"?, USA",2020-03-01,68,-100.4458825,39.7837304
USA/WA-UW20/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA-UW18/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA-S3/2020,USA,"?, USA",2020-02-28,66,-100.4458825,39.7837304
USA/WA4-UW2/2020,USA,"?, USA",2020-02-28,66,-100.4458825,39.7837304
USA/WA-UW16/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA-UW17/2020,USA,"?, USA",2020-03-06,73,-100.4458825,39.7837304
USA/WA14-UW10/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA17-UW13/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA15-UW11/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA16-UW12/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA12-UW8/2020,USA,"?, USA",2020-03-03,70,-100.4458825,39.7837304
USA/WA-UW15/2020,USA,"?, USA",2020-03-04,71,-100.4458825,39.7837304
USA/WA6-UW3/2020,USA,"?, USA",2020-02-29,67,-100.4458825,39.7837304
USA/WA-UW21/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
USA/WA13-UW9/2020,USA,"?, USA",2020-03-02,69,-100.4458825,39.7837304
USA/WA18-UW14/2020,USA,"?, USA",2020-03-05,72,-100.4458825,39.7837304
Guangdong/2020XN4373-P0039/2020,China,"?, China",2020-01-30,37,104.999927,35.000074
Wuhan/WIV07/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/IPBCAMS-WH-03/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/IVDC-HB-04/2020,China,"Wuhan, China",2020-01-01,8,114.2999353,30.5951051
Wuhan/HBCDC-HB-01/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
France/RA739/2020,France,"Contamines, France",2020-02-08,46,1.3530457,45.8978561
Wuhan/WIV05/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/WH01/2019,China,"Wuhan, China",2019-12-26,2,114.2999353,30.5951051
China/WF0003/2020,China,"?, China",2020-01-14,21,104.999927,35.000074
Wuhan/IVDC-HB-05/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
HongKong/case49_VM20002508/2020,Hong Kong,"?, Hong Kong",2020-02-10,48,114.1628131,22.2793278
Guangdong/2020XN4448-P0002/2020,China,"?, China",2020-01-31,38,104.999927,35.000074
Guangdong/GD2020139-P0007/2020,China,"?, China",2020-02-02,40,104.999927,35.000074
China/WF0002/2020,China,"?, China",2020-01-18,25,104.999927,35.000074
China/WF0004/2020,China,"?, China",2020-01-18,25,104.999927,35.000074
Wuhan/WIV02/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
Wuhan/HBCDC-HB-02/2019,China,"Wuhan, China",2019-12-30,6,114.2999353,30.5951051
USA/CA8/2020,USA,"?, USA",2020-02-10,48,-100.4458825,39.7837304
Wuhan/IVDC-HB-envF13/2020,China,"Wuhan, China",2020-01-01,8,114.2999353,30.5951051
Wuhan/IPBCAMS-WH-01/2019,China,"Wuhan, China",2019-12-24,0,114.2999353,30.5951051
Netherlands/Tilburg_1363354/2020,Netherlands,"Tilburg, Netherlands",2020-02-27,65,5.083076,51.55847
Netherlands/Oss_1363500/2020,Netherlands,"Oss, Netherlands",2020-02-29,67,5.5223672,51.7689067
Netherlands/Nieuwendijk_1363582/2020,Netherlands,"Nieuwendijk, Netherlands",2020-03-01,68,4.9233404,51.772489
Netherlands/NoordBrabant_34/2020,Netherlands,"?, Netherlands",2020-03-02,69,5.7480821,52.5001698
Netherlands/NoordBrabant_10/2020,Netherlands,"?, Netherlands",2020-03-02,69,5.7480821,52.5001698
Netherlands/NoordBrabant_12/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/Hardinxveld_Giessendam_1364806/2020,Netherlands,"Hardinxveld Giessendam, Netherlands",2020-03-02,69,4.824610423909343,51.83862405
Netherlands/NoordBrabant_11/2020,Netherlands,"?, Netherlands",2020-03-02,69,5.7480821,52.5001698
Guangdong/ZH-N22-P0059/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Netherlands/NoordBrabant_29/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/Naarden_1364774/2020,Netherlands,"Naarden, Netherlands",2020-03-02,69,5.162987526644068,52.30320225
Netherlands/Rotterdam_1364040/2020,Netherlands,"Rotterdam, Netherlands",2020-03-02,69,4.488595428701715,51.9278469
Netherlands/Andel_1365066/2020,Netherlands,"Andel, Netherlands",2020-03-01,68,6.521138416229395,53.4010861
England/Sheff01/2020,United Kingdom,"Yorkshire, United Kingdom",2020-03-04,71,-1.1761942,54.5801786
Scotland/CVR02/2020,United Kingdom,"?, United Kingdom",2020-03-02,69,-3.2765753,54.7023545
Scotland/CVR04/2020,United Kingdom,"?, United Kingdom",2020-03-04,71,-3.2765753,54.7023545
Netherlands/Limburg_6/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/NoordBrabant_30/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/NoordBrabant_28/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/NoordBrabant_32/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/NoordBrabant_31/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/NoordBrabant_33/2020,Netherlands,"?, Netherlands",2020-03-01,68,5.7480821,52.5001698
Netherlands/NoordBrabant_35/2020,Netherlands,"?, Netherlands",2020-03-09,76,5.7480821,52.5001698
USA/CA6/2020,USA,"?, USA",2020-01-27,34,-100.4458825,39.7837304
Netherlands/NoordBrabant_27/2020,Netherlands,"?, Netherlands",2020-03-08,75,5.7480821,52.5001698
Netherlands/Coevorden_1363618/2020,Netherlands,"Coevorden, Netherlands",2020-06-01,160,6.739318887009727,52.65266925
Netherlands/Loon_op_zand_1363512/2020,Netherlands,"Loon op zand, Netherlands",2020-02-29,67,5.07407,51.6271273
Netherlands/Tilburg_/2020,Netherlands,"Tilburg, Netherlands",2020-06-01,160,5.083076,51.55847
Netherlands/NoordBrabant_24/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/NoordBrabant_38/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/NoordBrabant_19/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/NoordBrabant_18/2020,Netherlands,"?, Netherlands",2020-03-05,72,5.7480821,52.5001698
Netherlands/Dalen_1363624/2020,Netherlands,"Dalen, Netherlands",2020-03-01,68,6.740346150379549,52.697543749999994
USA/MN2-MDH2/2020,USA,"?, USA",2020-03-07,74,-100.4458825,39.7837304
France/IDF0515/2020,France,"Paris, France",2020-01-29,36,2.3514616,48.8566969
Wuhan/HBCDC-HB-05/2020,China,"Wuhan, China",2020-01-18,25,114.2999353,30.5951051
Shandong/IVDC-SD-001/2020,China,"Qingdao, China",2020-01-19,26,120.3781372,36.0638034
Guangdong/DG-S41-P0056/2020,China,"?, China",2020-02-28,66,104.999927,35.000074
Netherlands/ZuidHolland_16/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Canada/BC_37_0-2/2020,Canada,"?, Canada",2020-02-16,54,-107.9917071,61.0666922
USA/NY1-PV08001/2020,USA,"?, USA",2020-02-29,67,-100.4458825,39.7837304
England/200990002/2020,United Kingdom,"?, United Kingdom",2020-02-28,66,-3.2765753,54.7023545
Germany/BavPat2/2020,Germany,"Munich, Germany",2020-03-02,69,11.5753822,48.1371079
Australia/NSW09/2020,Australia,"Sydney, Australia",2020-02-28,66,151.2164539,-33.8548157
Australia/NSW12/2020,Australia,"Sydney, Australia",2020-03-04,71,151.2164539,-33.8548157
Australia/NSW11/2020,Australia,"Sydney, Australia",2020-03-02,69,151.2164539,-33.8548157
Australia/NSW06/2020,Australia,"Sydney, Australia",2020-02-29,67,151.2164539,-33.8548157
England/200960041/2020,United Kingdom,"?, United Kingdom",2020-02-27,65,-3.2765753,54.7023545
Australia/NSW05/2020,Australia,"Sydney, Australia",2020-02-28,66,151.2164539,-33.8548157
Australia/NSW14/2020,Australia,"Sydney, Australia",2020-03-03,70,151.2164539,-33.8548157
NewZealand/01/2020,New Zealand,"Auckland, New Zealand",2020-02-27,65,174.7631803,-36.852095
Australia/NSW13/2020,Australia,"Sydney, Australia",2020-03-04,71,151.2164539,-33.8548157
Australia/NSW07/2020,Australia,"Sydney, Australia",2020-02-29,67,151.2164539,-33.8548157
Australia/QLD09/2020,Australia,"Gold Coast, Australia",2020-02-29,67,153.4145987,-28.0023731
Netherlands/NoordBrabant_5/2020,Netherlands,"?, Netherlands",2020-03-05,72,5.7480821,52.5001698
HongKong/VB20026565/2020,Hong Kong,"?, Hong Kong",2020-02-01,39,114.1628131,22.2793278
Singapore/3/2020,Singapore,"Singapore, Singapore",2020-02-01,39,103.8194992,1.357107
Japan/Hu_DP_Kng_19-020/2020,Japan,"?, Japan",2020-02-10,48,139.2394179,36.5748441
England/Sheff02/2020,United Kingdom,"Yorkshire, United Kingdom",2020-03-03,70,-1.1761942,54.5801786
Japan/Hu_DP_Kng_19-027/2020,Japan,"?, Japan",2020-02-10,48,139.2394179,36.5748441
Japan/TK/20-31-3/2020,Japan,"?, Japan",2020-02-20,58,139.2394179,36.5748441
HongKong/case78_VM20002849/2020,Hong Kong,"?, Hong Kong",2020-02-22,60,114.1628131,22.2793278
Chongqing/IVDC-CQ-001/2020,China,"?, China",2020-01-18,25,104.999927,35.000074
Wuhan/WH05/2020,China,"Wuhan, China",2020-02-07,45,114.2999353,30.5951051
Italy/INMI1-cs/2020,Italy,"Rome, Italy",2020-01-29,36,12.4829321,41.8933203
Italy/SPL1/2020,Italy,"Rome, Italy",2020-01-29,36,12.4829321,41.8933203
USA/WA3-UW1/2020,USA,"?, USA",2020-02-27,65,-100.4458825,39.7837304
England/200960515/2020,United Kingdom,"?, United Kingdom",2020-02-25,63,-3.2765753,54.7023545
Finland/FIN01032020/2020,Finland,"?, Finland",2020-03-01,68,25.9209164,63.2467777
Finland/FIN03032020B/2020,Finland,"?, Finland",2020-03-03,70,25.9209164,63.2467777
England/09c/2020,United Kingdom,"?, United Kingdom",2020-02-09,47,-3.2765753,54.7023545
England/200940527/2020,United Kingdom,"?, United Kingdom",2020-02-25,63,-3.2765753,54.7023545
England/200990725/2020,United Kingdom,"?, United Kingdom",2020-02-28,66,-3.2765753,54.7023545
England/200990724/2020,United Kingdom,"?, United Kingdom",2020-02-28,66,-3.2765753,54.7023545
Switzerland/1000477102/2020,Switzerland,"?, Switzerland",2020-02-26,64,8.2319736,46.7985624
Brazil/SPBR-02/2020,Brazil,"Sao Paulo, Brazil",2020-02-28,66,-46.6333824,-23.5506507
Netherlands/NoordBrabant_22/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/NoordBrabant_23/2020,Netherlands,"?, Netherlands",2020-03-05,72,5.7480821,52.5001698
England/200990006/2020,United Kingdom,"?, United Kingdom",2020-02-26,64,-3.2765753,54.7023545
Netherlands/NoordBrabant_37/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/NoordBrabant_25/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/NoordBrabant_20/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
England/201000003/2020,United Kingdom,"?, United Kingdom",2020-03-01,68,-3.2765753,54.7023545
Netherlands/ZuidHolland_8/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Netherlands/NoordBrabant_6/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
Germany/BavPat1/2020,Germany,"Starnberg, Germany",2020-01-28,35,11.3508972,48.0001038
Finland/FIN-25/2020,Finland,"?, Finland",2020-02-25,63,25.9209164,63.2467777
Netherlands/ZuidHolland_5/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/ZuidHolland_9/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
Netherlands/Utrecht_1363564/2020,Netherlands,"Utrecht, Netherlands",2020-03-01,68,5.109708,52.0949753
Netherlands/Utrecht_6/2020,Netherlands,"?, Netherlands",2020-03-04,71,5.7480821,52.5001698
Netherlands/Utrecht_1363628/2020,Netherlands,"Utrecht, Netherlands",2020-03-01,68,5.109708,52.0949753
Netherlands/Haarlem_1363688/2020,Netherlands,"Haarlem, Netherlands",2020-03-01,68,4.6388048,52.3885317
Taiwan/NTU03/2020,Taiwan,"Taipei, Taiwan",2020-03-02,69,121.5636796,25.0375198
England/200991076/2020,United Kingdom,"?, United Kingdom",2020-03-01,68,-3.2765753,54.7023545
England/200981386/2020,United Kingdom,"?, United Kingdom",2020-02-26,64,-3.2765753,54.7023545
Netherlands/NoordBrabant_4/2020,Netherlands,"?, Netherlands",2020-03-06,73,5.7480821,52.5001698
